id,name,size,type,location,website,description,hr_contact
1,DataDive Analytics,11-50,Enterprise,"Seattle, WA",https://infoflowsolutions.com,"DataSphere Analytics is a leading firm in the SME sector. Located in WA, we specialize in cutting-edge solutions and services.",hr@optimainsights.com
2,NeuralNet Innovations,1-10,Multinational,"Seattle, WA",https://pioneerdataservices.com,"Pioneer Data Services is a leading firm in the Startup sector. Located in WA, we specialize in cutting-edge solutions and services.",hr@neuralnetinnovations.com
3,DeepLearn Systems,201-500,Startup,"Boston, MA",https://quantumleapanalytics.com,"InfoFlow Solutions is a leading firm in the SME sector. Located in MA, we specialize in cutting-edge solutions and services.",hr@terratechsolutions.com
4,Nimbus Tech,1-10,SME,"New York, NY",https://deeplearnsystems.com,"Quantum Leap Analytics is a leading firm in the Enterprise sector. Located in NY, we specialize in cutting-edge solutions and services.",hr@terratechsolutions.com
5,Nimbus Tech,1001-5000,Multinational,"Seattle, WA",https://deeplearnsystems.com,"DataPulse Systems is a leading firm in the Startup sector. Located in WA, we specialize in cutting-edge solutions and services.",hr@quanttechlabs.com
6,AlphaTech Ventures,1-10,Enterprise,"Austin, TX",https://optimainsights.com,"NexaCore Tech is a leading firm in the Enterprise sector. Located in TX, we specialize in cutting-edge solutions and services.",hr@evotechsolutions.com
7,Pioneer Data Services,1-10,Multinational,"San Francisco, CA",https://evotechsolutions.com,"NexaCore Tech is a leading firm in the Enterprise sector. Located in CA, we specialize in cutting-edge solutions and services.",hr@eagleeyedata.com
8,DataDive Analytics,51-200,Multinational,"Seattle, WA",https://datasphereanalytics.com,"EvoTech Solutions is a leading firm in the Multinational sector. Located in WA, we specialize in cutting-edge solutions and services.",hr@datasphereanalytics.com
9,InfoFlow Solutions,11-50,Enterprise,"San Francisco, CA",https://nexacoretech.com,"DataSphere Analytics is a leading firm in the Enterprise sector. Located in CA, we specialize in cutting-edge solutions and services.",hr@deeplearnsystems.com
10,DeepLearn Systems,11-50,SME,"New York, NY",https://datasphereanalytics.com,"Pioneer Data Services is a leading firm in the SME sector. Located in NY, we specialize in cutting-edge solutions and services.",hr@nexacoretech.com
11,DataPulse Systems,51-200,Startup,"Seattle, WA",https://infoflowsolutions.com,"DataPulse Systems is a leading firm in the Multinational sector. Located in WA, we specialize in cutting-edge solutions and services.",hr@datasphereanalytics.com
12,AlphaTech Ventures,1001-5000,Multinational,"New York, NY",https://optimainsights.com,"TerraTech Solutions is a leading firm in the Enterprise sector. Located in NY, we specialize in cutting-edge solutions and services.",hr@datadiveanalytics.com
13,Nimbus Tech,501-1000,SME,"Seattle, WA",https://eagleeyedata.com,"Nimbus Tech is a leading firm in the Startup sector. Located in WA, we specialize in cutting-edge solutions and services.",hr@datadiveanalytics.com
14,InfoFlow Solutions,501-1000,Startup,"Austin, TX",https://nexatech.com,"EagleEye Data is a leading firm in the Enterprise sector. Located in TX, we specialize in cutting-edge solutions and services.",hr@nexatech.com
15,DataPulse Systems,501-1000,Multinational,"Seattle, WA",https://datapulsesystems.com,"DataPulse Systems is a leading firm in the Multinational sector. Located in WA, we specialize in cutting-edge solutions and services.",hr@datadriven.com
16,DataDriven,1001-5000,SME,"Seattle, WA",https://pioneerdataservices.com,"TerraTech Solutions is a leading firm in the Multinational sector. Located in WA, we specialize in cutting-edge solutions and services.",hr@datadiveanalytics.com
17,DataDriven,1-10,Multinational,"Seattle, WA",https://quantumleapanalytics.com,"Quantum Leap Analytics is a leading firm in the Multinational sector. Located in WA, we specialize in cutting-edge solutions and services.",hr@quanttechlabs.com
18,Nimbus Tech,501-1000,Startup,"San Francisco, CA",https://alphatechventures.com,"NeuralNet Innovations is a leading firm in the Enterprise sector. Located in CA, we specialize in cutting-edge solutions and services.",hr@datapulsesystems.com
19,DataSphere Analytics,5001-10000,Enterprise,"Boston, MA",https://neuralnetinnovations.com,"InfoFlow Solutions is a leading firm in the Startup sector. Located in MA, we specialize in cutting-edge solutions and services.",hr@nexatech.com
20,DataDive Analytics,1-10,SME,"Austin, TX",https://optimainsights.com,"EagleEye Data is a leading firm in the Enterprise sector. Located in TX, we specialize in cutting-edge solutions and services.",hr@datadriven.com
21,EvoTech Solutions,1-10,Multinational,"Austin, TX",https://nexatech.com,"Optima Insights is a leading firm in the Enterprise sector. Located in TX, we specialize in cutting-edge solutions and services.",hr@infoflowsolutions.com
22,NexaCore Tech,501-1000,Multinational,"Seattle, WA",https://quanttechlabs.com,"InfoFlow Solutions is a leading firm in the Multinational sector. Located in WA, we specialize in cutting-edge solutions and services.",hr@neuralnetinnovations.com
23,QuantTech Labs,201-500,Enterprise,"San Francisco, CA",https://evotechsolutions.com,"DataDriven is a leading firm in the SME sector. Located in CA, we specialize in cutting-edge solutions and services.",hr@quantumleapanalytics.com
24,EagleEye Data,11-50,Enterprise,"Boston, MA",https://techbridges.com,"InfoFlow Solutions is a leading firm in the Enterprise sector. Located in MA, we specialize in cutting-edge solutions and services.",hr@quanttechlabs.com
25,TechBridges,11-50,Startup,"San Francisco, CA",https://alphatechventures.com,"Insightful Analytics is a leading firm in the SME sector. Located in CA, we specialize in cutting-edge solutions and services.",hr@insightfulanalytics.com
26,Insightful Analytics,5001-10000,SME,"San Francisco, CA",https://quantumleapanalytics.com,"TechBridges is a leading firm in the Multinational sector. Located in CA, we specialize in cutting-edge solutions and services.",hr@pioneerdataservices.com
27,DataSphere Analytics,5001-10000,Multinational,"Boston, MA",https://datadriven.com,"TechBridges is a leading firm in the Startup sector. Located in MA, we specialize in cutting-edge solutions and services.",hr@datadiveanalytics.com
28,DataDriven,1001-5000,Startup,"Austin, TX",https://pioneerdataservices.com,"QuantTech Labs is a leading firm in the SME sector. Located in TX, we specialize in cutting-edge solutions and services.",hr@datadriven.com
29,Optima Insights,501-1000,Startup,"Seattle, WA",https://datasphereanalytics.com,"NexaCore Tech is a leading firm in the Multinational sector. Located in WA, we specialize in cutting-edge solutions and services.",hr@alphatechventures.com
30,AlphaTech Ventures,201-500,Enterprise,"Boston, MA",https://nexacoretech.com,"Pioneer Data Services is a leading firm in the Startup sector. Located in MA, we specialize in cutting-edge solutions and services.",hr@datadiveanalytics.com
31,NexaCore Tech,5001-10000,Multinational,"Boston, MA",https://quantumleapanalytics.com,"EagleEye Data is a leading firm in the Enterprise sector. Located in MA, we specialize in cutting-edge solutions and services.",hr@terratechsolutions.com
32,DataDriven,11-50,SME,"New York, NY",https://datasphereanalytics.com,"EvoTech Solutions is a leading firm in the Multinational sector. Located in NY, we specialize in cutting-edge solutions and services.",hr@quantumleapanalytics.com
33,DataPulse Systems,10001+,Enterprise,"San Francisco, CA",https://neuralnetinnovations.com,"Pioneer Data Services is a leading firm in the Multinational sector. Located in CA, we specialize in cutting-edge solutions and services.",hr@evotechsolutions.com
34,Quantum Leap Analytics,5001-10000,Multinational,"Austin, TX",https://datadiveanalytics.com,"NexaTech is a leading firm in the Startup sector. Located in TX, we specialize in cutting-edge solutions and services.",hr@datadriven.com
35,QuantTech Labs,51-200,Startup,"San Francisco, CA",https://neuralnetinnovations.com,"NeuralNet Innovations is a leading firm in the Startup sector. Located in CA, we specialize in cutting-edge solutions and services.",hr@optimainsights.com
